epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2479,1.40145,3.8636,0.01741,0.01058,1,0.17624,0.08591,2.28425,7.51302,0.03241,0,0,0
2,16.7727,1.69135,4.422,0.02776,0.0087,1,0.12464,0.05391,2.29758,7.52136,0.03619,1.11689e-05,1.11689e-05,1.11689e-05
3,17.3411,1.59325,4.14827,0.01705,0.00769,1,0.25849,0.12821,2.26119,7.48353,0.03548,1.13356e-05,1.13356e-05,1.13356e-05
