epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2676,1.40145,3.8636,0.01741,0.01058,1,0.17624,0.08591,2.28425,7.51302,0.03241,0,0,0
2,16.9227,1.69135,4.422,0.02776,0.0087,1,0.12464,0.05391,2.29758,7.52136,0.03619,1.6505e-05,1.6505e-05,1.6505e-05
3,17.5996,1.59325,4.14827,0.01705,0.00778,1,0.50816,0.30241,2.1943,7.4225,0.03434,3.26799e-05,3.26799e-05,3.26799e-05
4,18.5889,1.64897,3.86209,0.01583,0.00712,1,0.51939,0.15285,2.3111,7.55828,0.03495,4.85247e-05,4.85247e-05,4.85247e-05
5,19.2651,1.25812,3.86001,0.01159,0.00658,1,0.26312,0.07015,2.26779,7.51162,0.03429,6.40395e-05,6.40395e-05,6.40395e-05
6,19.9414,1.29342,3.90932,0.00919,0.00613,1,0.55382,0.22996,2.37553,7.64208,0.03673,7.92242e-05,7.92242e-05,7.92242e-05
7,20.6525,1.03014,4.04909,0.01087,0.00576,1,0.26568,0.11175,2.28814,7.51462,0.03313,9.40788e-05,9.40788e-05,9.40788e-05
8,21.4268,1.41537,4.72107,0.02316,0.00543,1,0.63786,0.23779,2.22745,7.43609,0.03147,0.000108603,0.000108603,0.000108603
9,22.1228,1.33811,3.82586,0.01397,0.00524,1,0.745,0.24083,2.19197,7.40805,0.03053,0.000122798,0.000122798,0.000122798
10,23.0767,0.91653,3.68361,0.01161,0.00481,1,0.995,0.40179,2.04569,7.2715,0.02782,0.000136662,0.000136662,0.000136662
11,23.8248,1.14885,3.8938,0.01225,0.00482,1,0.995,0.45272,1.87738,7.12323,0.02475,0.000150197,0.000150197,0.000150197
12,24.5236,1.39878,4.02892,0.00876,0.00483,1,0.995,0.42741,1.32008,6.75253,0.01648,0.000163401,0.000163401,0.000163401
13,25.2435,1.12805,3.61085,0.00868,0.00522,1,0.82833,0.36031,1.43014,6.8109,0.01741,0.000176275,0.000176275,0.000176275
