epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.324036,1.40145,3.8636,0.01741,0.01058,1,0.17624,0.08591,2.28425,7.51302,0.03241,0,0,0
2,0.851985,1.69135,4.422,0.02776,0.0087,1,0.12464,0.05391,2.29758,7.52136,0.03619,1.6505e-05,1.6505e-05,1.6505e-05
3,1.44788,1.59325,4.14827,0.01705,0.00778,1,0.50816,0.30241,2.1943,7.4225,0.03434,3.26799e-05,3.26799e-05,3.26799e-05
4,2.14707,1.64897,3.86209,0.01583,0.00712,1,0.51939,0.15285,2.3111,7.55828,0.03495,4.85247e-05,4.85247e-05,4.85247e-05
5,2.82299,1.25812,3.86001,0.01159,0.00658,1,0.26312,0.07015,2.26779,7.51162,0.03429,6.40395e-05,6.40395e-05,6.40395e-05
6,3.93241,1.29342,3.90932,0.00919,0.00613,1,0.55382,0.22996,2.37553,7.64208,0.03673,7.92242e-05,7.92242e-05,7.92242e-05
7,4.5934,1.03014,4.04909,0.01087,0.00576,1,0.26568,0.11175,2.28814,7.51462,0.03313,9.40788e-05,9.40788e-05,9.40788e-05
8,5.30284,1.41537,4.72107,0.02316,0.00543,1,0.63786,0.23779,2.22745,7.43609,0.03147,0.000108603,0.000108603,0.000108603
9,5.99989,1.33811,3.82586,0.01397,0.00524,1,0.745,0.24083,2.19197,7.40805,0.03053,0.000122798,0.000122798,0.000122798
10,6.71128,0.91653,3.68361,0.01161,0.00481,1,0.995,0.40179,2.04569,7.2715,0.02782,0.000136662,0.000136662,0.000136662
11,7.42104,1.14885,3.8938,0.01225,0.00482,1,0.995,0.45272,1.87738,7.12323,0.02475,0.000150197,0.000150197,0.000150197
12,8.13375,1.39878,4.02892,0.00876,0.00483,1,0.995,0.42741,1.32008,6.75253,0.01648,0.000163401,0.000163401,0.000163401
13,8.96514,1.12805,3.61085,0.00868,0.00522,1,0.82833,0.36031,1.43014,6.8109,0.01741,0.000176275,0.000176275,0.000176275
14,9.61382,0.89882,3.5828,0.01111,0.0051,1,0.82833,0.35934,1.45004,6.81869,0.01747,0.000188819,0.000188819,0.000188819
15,10.2664,1.20096,4.04639,0.01258,0.00491,1,0.995,0.41976,1.6631,6.9564,0.02078,0.000201034,0.000201034,0.000201034
16,10.949,1.01292,3.42899,0.00795,0.00483,1,0.995,0.44327,1.69478,6.97713,0.02138,0.000212918,0.000212918,0.000212918
17,11.591,1.15596,3.718,0.00643,0.00495,1,0.82833,0.35131,1.70648,6.98694,0.02176,0.000224472,0.000224472,0.000224472
18,12.4817,0.85315,4.0446,0.01068,0.00495,1,0.82833,0.35131,1.70648,6.98694,0.02176,0.000235695,0.000235695,0.000235695
19,13.1748,1.02438,3.71701,0.0121,0.00469,1,0.4975,0.25535,1.49973,6.83063,0.02018,0.000246589,0.000246589,0.000246589
20,13.8232,0.93809,3.28527,0.01068,0.00469,1,0.4975,0.25535,1.49973,6.83063,0.02018,0.000257153,0.000257153,0.000257153
21,14.5309,1.01,3.92707,0.01336,0.0046,1,0.745,0.39435,1.35376,6.71795,0.01845,0.000267387,0.000267387,0.000267387
22,15.1431,1.20298,3.61689,0.01379,0.0046,1,0.745,0.39435,1.35376,6.71795,0.01845,0.00027729,0.00027729,0.00027729
23,15.837,0.8013,3.34412,0.00844,0.00472,1,0.745,0.39458,1.34474,6.7023,0.0166,0.000286864,0.000286864,0.000286864
24,16.4883,0.97932,3.20704,0.00752,0.00472,1,0.745,0.39458,1.34474,6.7023,0.0166,0.000296108,0.000296108,0.000296108
25,17.3354,0.75755,3.115,0.00811,0.00491,1,0.995,0.53804,1.18451,6.59618,0.01508,0.000305021,0.000305021,0.000305021
26,17.9556,1.23684,3.30951,0.00864,0.00491,1,0.995,0.53804,1.18451,6.59618,0.01508,0.000313604,0.000313604,0.000313604
27,18.6906,1.35416,3.2883,0.00836,0.00509,1,0.995,0.53298,1.23471,6.60279,0.01549,0.000321858,0.000321858,0.000321858
28,19.3082,1.05026,3.11172,0.01108,0.00509,1,0.995,0.53298,1.23471,6.60279,0.01549,0.000329781,0.000329781,0.000329781
29,19.9747,0.97931,3.22672,0.00847,0.00517,1,0.995,0.56007,1.32726,6.63601,0.0178,0.000337374,0.000337374,0.000337374
30,20.7917,0.68334,3.12753,0.00869,0.00517,1,0.995,0.56007,1.32726,6.63601,0.0178,0.000344637,0.000344637,0.000344637
31,21.4641,0.90205,3.09125,0.0093,0.00521,1,0.995,0.53688,1.27647,6.53789,0.01661,0.00035157,0.00035157,0.00035157
32,22.0636,1.08919,4.04854,0.01523,0.00521,1,0.995,0.53688,1.27647,6.53789,0.01661,0.000358173,0.000358173,0.000358173
33,22.74,0.96746,2.95443,0.00838,0.00522,1,0.745,0.40006,1.19269,6.39186,0.01541,0.000364446,0.000364446,0.000364446
34,23.3327,0.77691,3.25328,0.00987,0.00522,1,0.745,0.40006,1.19269,6.39186,0.01541,0.000370389,0.000370389,0.000370389
35,24.0094,1.00834,2.78703,0.00753,0.00513,1,0.745,0.43914,1.01666,6.14589,0.01274,0.000376002,0.000376002,0.000376002
36,24.6395,0.97531,2.76977,0.00679,0.00513,1,0.745,0.43914,1.01666,6.14589,0.01274,0.000381285,0.000381285,0.000381285
37,25.4718,0.77588,3.15209,0.01041,0.00526,1,0.745,0.43732,1.13244,6.03127,0.01422,0.000386237,0.000386237,0.000386237
38,26.0927,1.30439,2.77499,0.00815,0.00526,1,0.745,0.43732,1.13244,6.03127,0.01422,0.00039086,0.00039086,0.00039086
39,26.78,1.03287,2.57007,0.00692,0.00541,1,0.745,0.47202,1.26068,5.99416,0.01623,0.000395152,0.000395152,0.000395152
40,27.3837,1.01294,2.89364,0.01424,0.00541,1,0.745,0.47202,1.26068,5.99416,0.01623,0.000399115,0.000399115,0.000399115
41,28.0321,0.97594,2.49926,0.00711,0.00532,1,0.695,0.44532,1.2767,5.87586,0.01613,0.000402747,0.000402747,0.000402747
