epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3945,1.40145,3.8636,0.01741,0.01058,1,0.17624,0.08591,2.28425,7.51302,0.03241,0,0,0
2,16.9808,1.69135,4.422,0.02776,0.0087,1,0.12464,0.05391,2.29758,7.52136,0.03619,1.58448e-05,1.58448e-05,1.58448e-05
3,17.6492,1.59325,4.14827,0.01705,0.00781,1,0.50649,0.30176,2.20924,7.43694,0.03447,3.00393e-05,3.00393e-05,3.00393e-05
4,18.6516,1.63033,3.87207,0.01521,0.00709,1,0.56167,0.15708,2.31898,7.56731,0.03651,4.25835e-05,4.25835e-05,4.25835e-05
5,19.3467,1.26415,3.8641,0.01163,0.00658,1,0.26243,0.08345,2.30407,7.53683,0.03468,5.34774e-05,5.34774e-05,5.34774e-05
6,20.0266,1.26928,3.92976,0.00909,0.00606,1,0.52064,0.22737,2.41881,7.66957,0.03721,6.27209e-05,6.27209e-05,6.27209e-05
7,20.6993,1.0942,4.04873,0.01174,0.00578,1,0.27453,0.11124,2.3747,7.60002,0.03427,7.03141e-05,7.03141e-05,7.03141e-05
8,21.3968,1.41719,4.74623,0.02406,0.00543,1,0.63786,0.23471,2.26872,7.47773,0.03216,7.62569e-05,7.62569e-05,7.62569e-05
9,22.1503,1.34167,3.82952,0.01443,0.00529,1,0.51826,0.20749,2.29442,7.50566,0.03271,8.05494e-05,8.05494e-05,8.05494e-05
10,22.9005,1.0107,3.70992,0.01357,0.00491,1,0.27976,0.11321,2.26038,7.46517,0.03233,8.31916e-05,8.31916e-05,8.31916e-05
11,24.8592,1.08764,4.2457,0.01515,0.00484,1,0.695,0.31928,2.17662,7.38404,0.03162,8.41835e-05,8.41835e-05,8.41835e-05
12,25.6772,1.0589,4.24987,0.01449,0.00474,1,0.57833,0.28917,2.10846,7.31916,0.03067,8.3525e-05,8.3525e-05,8.3525e-05
13,26.3606,0.94857,4.13494,0.0101,0.00462,1,0.63786,0.32845,2.08354,7.29425,0.03029,8.12162e-05,8.12162e-05,8.12162e-05
14,27.0632,1.09641,4.17515,0.01395,0.00435,1,0.58591,0.29328,1.75601,7.04619,0.02248,7.72571e-05,7.72571e-05,7.72571e-05
15,27.8459,1.06324,4.21683,0.00948,0.00435,1,0.82833,0.41515,1.40455,6.80338,0.01764,7.16477e-05,7.16477e-05,7.16477e-05
16,28.6372,1.18109,4.07396,0.01686,0.00441,1,0.745,0.37337,1.36117,6.76605,0.01694,6.43879e-05,6.43879e-05,6.43879e-05
17,29.7052,1.18202,4.03257,0.01776,0.0045,1,0.995,0.50323,1.39555,6.783,0.01729,5.54778e-05,5.54778e-05,5.54778e-05
18,30.3905,0.93532,4.07502,0.01126,0.0045,1,0.995,0.50323,1.39555,6.783,0.01729,4.49173e-05,4.49173e-05,4.49173e-05
19,31.0641,1.0149,3.96122,0.01561,0.00447,1,0.995,0.50361,1.38041,6.76648,0.01702,3.27065e-05,3.27065e-05,3.27065e-05
20,31.7267,1.0134,4.07333,0.01216,0.00447,1,0.995,0.50361,1.38041,6.76648,0.01702,1.88454e-05,1.88454e-05,1.88454e-05
